exp_id,alpha,local_epochs,eta,buffer_size,buffer_timeout,stragglers,success,run_folder,duration_min,timestamp
A1,0.1,5,0.5,5,0.0,0,False,,60.00261381467183,2025-11-28 04:43:06
A2,1.0,5,0.5,5,0.0,0,False,,60.00366246700287,2025-11-28 05:43:06
A3,10.0,5,0.5,5,0.0,0,False,,60.0019825498263,2025-11-28 06:43:06
A1,0.1,5,0.5,5,0.0,0,True,logs/avinash/run_20251128_071743,84.60177576939265,2025-11-28 08:42:17
A2,1.0,5,0.5,5,0.0,0,True,logs/avinash/run_20251128_084219,83.35289866526922,2025-11-28 10:05:38
A3,10.0,5,0.5,5,0.0,0,True,logs/avinash/run_20251128_100540,83.7372234026591,2025-11-28 11:29:22
A4,100.0,5,0.5,5,0.0,0,True,logs/avinash/run_20251128_112924,84.22895644903183,2025-11-28 12:53:36
A5,1000.0,5,0.5,5,0.0,0,True,logs/avinash/run_20251128_125338,85.06413270235062,2025-11-28 14:18:40
L1,0.5,3,0.5,5,0.0,0,True,logs/avinash/run_20251128_141842,54.43018823464711,2025-11-28 15:13:06
L2,0.5,5,0.5,5,0.0,0,True,logs/avinash/run_20251128_151307,81.58534324963888,2025-11-28 16:34:41
L3,0.5,7,0.5,5,0.0,0,True,logs/avinash/run_20251128_163442,108.4745712796847,2025-11-28 18:23:09
E1,0.5,5,0.2,5,0.0,0,True,logs/avinash/run_20251128_182311,81.08767543236415,2025-11-28 19:44:15
E2,0.5,5,0.5,5,0.0,0,True,logs/avinash/run_20251128_194416,81.57573108673095,2025-11-28 21:05:49
E3,0.5,5,0.8,5,0.0,0,True,logs/avinash/run_20251128_210551,81.25775939623514,2025-11-28 22:27:05
B1,0.5,5,0.5,3,0.0,0,True,logs/avinash/run_20251128_222706,81.30622211694717,2025-11-28 23:48:23
B2,0.5,5,0.5,5,0.5,0,True,logs/avinash/run_20251128_234825,86.82965915203094,2025-11-29 01:15:13
H1,0.1,3,0.5,5,0.0,1,False,,0.08084706862767538,2025-11-29 01:15:18
H2,0.1,3,0.5,5,5.0,1,False,,0.079885999361674,2025-11-29 01:15:23
H3,0.1,3,0.2,5,0.0,1,False,,0.07958450317382812,2025-11-29 01:15:27
H4,0.5,3,0.5,5,0.0,1,False,,0.07946184873580933,2025-11-29 01:15:32
